2025-11-11 00:38:24 [Database:INFO] - 데이터베이스 테이블 생성/확인 완료: sqlite:///athena_v1_trade_history.db
2025-11-11 00:38:24 [Main:CRITICAL] - API 키가 .env 파일에 설정되지 않았습니다! 프로그램을 종료합니다.
2025-11-11 00:38:24 [Main:INFO] - ========================================
2025-11-11 00:38:24 [Main:INFO] -       Athena v1 백엔드 서버 시작       
2025-11-11 00:38:24 [Main:INFO] - ========================================
2025-11-11 00:44:07 [ExchangeAPI:WARNING] - API 키가 .env 파일에 설정되지 않았습니다. 공개 API만 사용 가능합니다.
2025-11-11 00:44:07 [ExchangeAPI:WARNING] - API 키가 .env 파일에 설정되지 않았습니다. 공개 API만 사용 가능합니다.
2025-11-11 00:44:12 [Main:INFO] - WebSocket 클라이언트 연결 (총 1명)
2025-11-11 00:44:12 [Main:INFO] - WebSocket 클라이언트 연결 (총 2명)
2025-11-11 00:44:17 [Main:INFO] - [KRW-1INCH] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-2Z] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-A] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-AAVE] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-ADA] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-AERGO] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-AERO] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-AGLD] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-AHT] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-AKT] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-ALGO] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-ALT] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-ANIME] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-ANKR] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-API3] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-APT] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-AQT] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-ARB] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-ARDR] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-ARK] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-ARKM] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-ASTR] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-ATH] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-ATOM] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-AUCTION] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-AVAX] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-AVNT] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-AWE] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-AXL] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-AXS] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-BARD] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-BAT] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-BCH] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-BEAM] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-BERA] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-BIGTIME] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-BIO] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-BLAST] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-BLUR] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-BONK] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-BORA] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-BOUNTY] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-BSV] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-BTC] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-BTT] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-CARV] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-CBK] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-CELO] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-CHZ] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-CKB] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-COMP] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-COW] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-CPOOL] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-CRO] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-CTC] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-CVC] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-CYBER] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-DEEP] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-DKA] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-DOGE] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-DOOD] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-DOT] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-DRIFT] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-EGLD] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-ELF] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-ENA] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-ENS] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-ENSO] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-ERA] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-ETC] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-ETH] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-F] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-FCT2] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-FF] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-FIL] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-FLOCK] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-FLOW] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-FLUID] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-G] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-GAME2] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-GAS] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-GLM] 봇 시작 명령 수신.
